genotype,date,n_particles,n_reversals,n_pirouettes,n_excluded,speed,reversal_rate,pirouette_rate,speed_norm,reversal_rate_norm,pirouette_rate_norm,speed_date_matched,reversal_rate_date_matched,pirouette_rate_date_matched,results_dir
N2,20260122,91,12,19,0,0.2307,0.6245,0.6454,1.4130,0.4509,0.4195,True,True,True,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/N2/20260122 N2 off food-01222026135907-0000_results
N2,20260123,47,27,23,0,0.2144,0.5453,0.4890,1.3128,0.3937,0.3178,True,True,True,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/N2/20260123 N2 off food-01232026141743-0000_results
N2,20260124,84,19,37,0,0.1822,0.3817,1.3636,1.1158,0.2756,0.8863,True,True,True,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/N2/20260124 N2 off food-01242026120444-0000_results
N2,20260129,64,96,64,0,0.1591,1.0986,0.8214,0.9746,0.7931,0.5339,True,True,True,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/N2/20260129_N2_off_food-01292026141059-0000_results
N2,20260202,121,60,80,0,0.1574,0.7803,0.8567,0.9642,0.5633,0.5569,True,True,True,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/N2/20260202_N2_off_food-02022026132114-0000_results
N2,20260203,188,119,127,0,0.1866,1.0729,1.1605,1.1426,0.7745,0.7543,True,True,True,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/N2/20260203_N2_off_food-02032026135727-0000_results
N2,20260204,206,177,130,0,0.1476,1.8600,1.0717,0.9039,1.3428,0.6966,True,True,True,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/N2/20260204_N2_off_food-02042026134115-0000_results
N2,20260205,82,54,33,0,0.1737,0.7317,0.6024,1.0637,0.5282,0.3915,True,True,True,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/N2/20260205_N2_off_food-02052026140220-0000_results
N2,20260206,340,194,137,0,0.1242,2.3045,1.3670,0.7605,1.6637,0.8886,True,True,True,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/N2/20260206_N2_off_food-02062026144842-0000_results
N2,20260207,208,115,97,0,0.1588,0.9483,0.5507,0.9727,0.6846,0.3580,True,True,True,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/N2/20260207_N2_off_food-02072026134217-0000_results
N2,20260209,230,104,107,0,0.1521,1.2882,1.2589,0.9318,0.9300,0.8183,True,True,True,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/N2/20260209_N2_off_food-02092026135821-0000_results
N2,20260210,102,141,101,0,0.1681,1.5365,0.8818,1.0295,1.1092,0.5732,True,True,True,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/N2/20260210_N2_off_food-02102026132625-0000_results
N2,20260211,40,10,44,0,0.1594,1.2605,0.5514,0.9764,0.9100,0.3584,True,True,True,/Volumes/User Homes/ODlab-user/UserFolders/Nawaphat/6 CEST-2.1/Locomotion_Off food/0_COMPLETE!!/N2/20260211_N2_off_food-02112026131042-0000_results
